dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,53.312243387795085,53.31224410585575,4.1634474511240045,0.6566666518213921,0.11181322083999744,0.08729089017499957,26.2666660749875,7.301523360764867,0.1252050050892448,0.071393931588021,0.07139393137020761,Transport,1
loop_seattle/5T/medium,TinyCast,112.8296618816112,112.82966057146542,6.545047696864519,1.0337558679756345,0.22648686191491912,0.14496991365194567,41.35023471859076,10.622130759956367,0.18898953311695582,0.11644984762583675,0.11644984721110369,Transport,1
loop_seattle/5T/long,TinyCast,124.5625204248366,124.56252158941062,6.766493514666466,1.0652725388210844,0.23551503810788524,0.1482447179289753,42.61090155284642,11.160758057803987,0.19732449721509673,0.11963299659176456,0.11963299594424925,Transport,1
loop_seattle/D/short,TinyCast,19.35838011435557,19.358376095735373,3.0683103012226685,0.9218938758856501,0.05608534195351773,0.056342188849414714,36.875755044264984,4.399815918235167,0.0786305870016701,0.05483480322176385,0.054834802620230896,Transport,1
loop_seattle/H/short,TinyCast,77.1208087800347,77.12080846178065,5.088937064151102,1.0291101722468718,0.15020423883151454,0.1151921604206843,41.16440689055114,8.781845408570723,0.1554475939623294,0.09007936095936782,0.09007936049766681,Transport,1
loop_seattle/H/medium,TinyCast,93.99187825520833,93.99188520905895,5.824948053980021,1.1815316688038144,0.15859131439059387,0.12904905643010411,47.26126675236325,9.69494085877827,0.17135699585440373,0.10295530566689347,0.10295530641111514,Transport,1
loop_seattle/H/long,TinyCast,97.95196187610186,97.95196031400499,5.8418754921445,1.2095966653548431,0.19114866640545636,0.13003859157450715,48.383866616699684,9.897068347551302,0.1768738336276604,0.10440211965664783,0.10440211903805752,Transport,1
m_dense/D/short,TinyCast,12335.517037037038,12335.514074074074,62.974832175925926,0.8574106992187202,0.1492619836127166,0.12363521999782986,34.296427969201595,111.06537280825665,0.19227058134696556,0.10901874532575054,0.10901874261696756,Transport,1
m_dense/H/short,TinyCast,74724.98895833333,74725.0,136.65325954861112,1.1520470303896617,0.41521174504861497,0.3147793261210124,46.081881214186474,273.3587184604386,0.48487029658225134,0.24238885395512152,0.24238885936818733,Transport,1
m_dense/H/medium,TinyCast,82877.64,82877.63555555555,143.21889756944444,1.1981379089832271,0.43742877034374783,0.327678714328342,47.92551636300507,287.8847686141106,0.5008831421422386,0.24918279551249112,0.24918280079874439,Transport,1
m_dense/H/long,TinyCast,85951.62469135803,85951.62469135803,148.42099537037038,1.2510980881934433,0.45238877606504846,0.34211369267216435,50.04392352951122,293.17507515366657,0.5075294213653466,0.2569386973272198,0.2569386778607332,Transport,1
sz_taxi/15T/short,TinyCast,18.05059919951163,18.050598412351874,2.9198434932182415,0.584999370226159,1409240257599.7139,0.4235405965602442,23.399974814426354,4.2485996751296335,0.39726225847246666,0.27301786687318863,0.273017865789653,Transport,1
sz_taxi/15T/medium,TinyCast,19.47677241920406,19.476773253872864,3.156382608006143,0.6179349250734887,11534492529992.568,0.4454098106449486,24.717396998610035,4.413249643879673,0.4107265112297388,0.29375406362757167,0.29375405698492507,Transport,1
sz_taxi/15T/long,TinyCast,21.095398749109687,21.095398470886753,3.324486748241631,0.6271698246473153,7895711939675.433,0.46145779427639777,25.086792987865152,4.592972757279286,0.42511733308222316,0.3077085397556029,0.3077085429016157,Transport,1
sz_taxi/H/short,TinyCast,8.377897083249866,8.377898387419872,2.035795423719618,0.6265451640098199,1.19249693552653,0.3167572184505626,25.06180655600574,2.8944597221674835,0.26963678450603895,0.1896469063845913,0.18964690839078766,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,2110977.1162823457,2110977.119196089,192.33192872963193,0.9797242459973283,2.6763310548598143,0.6509475267791489,39.188969823485806,1452.9202029988935,4.561810100034828,0.6038746885252595,0.6038746905633071,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3972480.4349016063,3972480.4269735515,320.058599196012,1.3552454383139845,5.904881973804546,0.7368522698947446,54.2098174372115,1993.108234617881,6.05561318476062,0.9724264039072457,0.9724264125818046,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,3163065.6100192494,3163065.583880982,323.6813277708212,1.2967720387396269,4.195941934710013,0.7705749184497691,51.87088152993756,1778.5009446214106,4.7000469864235415,0.8553931071848049,0.8553930955623343,Web/CloudOps,2
