dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,45.01173443395656,45.01173543546222,3.8113545042811534,0.6042017894541032,0.10539807303894169,0.08056369925185007,24.168071579229974,6.709078508555147,0.11504588389343935,0.06535631491226906,0.06535631472830111,Transport,1
loop_seattle/5T/medium,TinyCast,99.51015674382417,99.51015608875129,6.145073141407056,0.9750447548296872,0.21600941499566392,0.13706965081339897,39.00179019278697,9.975477770203499,0.17748424765362944,0.10933347839608361,0.10933347784903771,Transport,1
loop_seattle/5T/long,TinyCast,112.94232119309711,112.94232142601193,6.488457252966977,1.0284758307625204,0.22862651057287636,0.14267636518168922,41.1390332301401,10.627432483582153,0.18789519140627758,0.11471725831813945,0.11471725907697615,Transport,1
loop_seattle/D/short,TinyCast,19.967167684045247,19.967167797423247,3.1452953090608675,0.9487862598666431,0.05835740029873371,0.05795791616626814,37.95145039358206,4.4684636827488315,0.07985741424180313,0.056210628135610216,0.0562106275868433,Transport,1
loop_seattle/H/short,TinyCast,76.1097457261666,76.10974789427219,5.122975528081569,1.0359944977126143,0.15969697402577832,0.11590684043623624,41.439779911302836,8.724089965501651,0.15442526388868072,0.09068187638454266,0.09068187626404223,Transport,1
loop_seattle/H/medium,TinyCast,91.10524378285443,91.10524737315774,5.716808285235866,1.1713005238667795,0.18650709118759423,0.1256870750057193,46.85202095450695,9.544906693250303,0.16870515875143507,0.10104394734358715,0.10104394636039696,Transport,1
loop_seattle/H/long,TinyCast,106.17698740714762,106.17698849893576,5.996201003487675,1.244498701009511,0.219854555697551,0.132773380423888,49.7799480431023,10.304221824434276,0.18415021020729067,0.10716012271970336,0.10716012271653372,Transport,1
m_dense/D/short,TinyCast,12056.954814814815,12056.95962962963,60.188153935185184,0.8465269477879509,0.15087934738622938,0.12224003544560186,33.861077880236465,109.8041657443597,0.1900872454498898,0.10419459328063778,0.10419459308863827,Transport,1
m_dense/H/short,TinyCast,77315.62104166667,77315.61715277778,134.86903971354167,1.1346575683668272,0.3821089720428426,0.3079059155782064,45.3863027323875,278.0568665609009,0.49320364141093725,0.23922409226224267,0.23922409189088784,Transport,1
m_dense/H/medium,TinyCast,100313.34666666666,100313.33777777778,158.35377604166666,1.3663344840220315,0.4232995250766497,0.36339096069335936,54.65337935262809,316.7228230908955,0.5510577151463522,0.27551557276083916,0.2755155597304771,Transport,1
m_dense/H/long,TinyCast,108754.72197530864,108754.72197530864,167.16385030864197,1.4468475979110293,0.45289474483052883,0.3819482421875,57.87390391077317,329.77980831959474,0.5708976290248786,0.289385351656786,0.28938535779269436,Transport,1
sz_taxi/15T/short,TinyCast,17.51126976152916,17.51126924451891,2.850359577253479,0.5709859491613971,1133279431550.9307,0.4146381733036158,22.839437972387678,4.184646910018713,0.39128240114388735,0.2665208232601468,0.26652082451673137,Transport,1
sz_taxi/15T/medium,TinyCast,18.996321614583334,18.996321614583334,3.094847432976095,0.6090295558337192,11597805785474.035,0.4393741183810764,24.36118222664879,4.3584769833719825,0.4056290013274171,0.28802718892129864,0.2880272004889432,Transport,1
sz_taxi/15T/long,TinyCast,19.274684495192307,19.27468338230057,3.1681900067886395,0.6006280060292458,8327628641677.982,0.4483146037131633,24.02512024352472,4.390294351770995,0.4063577828352756,0.2932419932709473,0.2932419877282245,Transport,1
sz_taxi/H/short,TinyCast,8.324304694803352,8.324304303552351,2.0122759566347823,0.6183318514213854,1.3441334096794455,0.3128908189952883,24.73327405979773,2.885187116081616,0.2687729840289288,0.18745592288964677,0.18745592022701527,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,2050684.0059989803,2050683.9891540003,175.87827814719228,0.8561936284347745,2.4902055981372557,0.6226973581370117,34.24774515326811,1432.020951662014,4.4961916196565115,0.5522142950263647,0.552214294221018,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3438603.1548121455,3438603.084991795,272.9885091423378,1.2193814055407515,3.62550260511733,0.7122697748852912,48.77525619463987,1854.3470966386378,5.6340185306998025,0.8294144726000898,0.8294144774817057,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,4877554.315947137,4877554.348250673,368.8716173199659,1.1194358232871602,3.605613824015162,0.7344724393650187,44.777432903377154,2208.51857948878,5.836455204242953,0.9748175499175454,0.9748175583693476,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,3052459.964784207,3052460.0165593484,314.76264114130817,1.107270437752082,3.8874516656646527,0.5729926085389933,44.29081747748176,1747.129063573784,4.979885302344487,0.8971757628142367,0.8971757548793033,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1721786.8679932896,1721786.8934683653,127.99387332963343,1.871186075255498,1.4542831939618994,0.621036365254138,74.84744294222568,1312.1687650577915,5.369015797708752,0.5237139811710642,0.5237139815395004,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2251043.7834108067,2251043.791136691,150.30574935186934,4.713838683052666,0.4645708035032149,0.6852607647822664,188.55354740601396,1500.347887461707,6.312728369421674,0.6324129063333292,0.6324129165406238,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,4297598.039956174,4297598.063194362,271.68075554063034,3.7065971918317544,4.934172837263704,0.6872888907583585,148.26388751104236,2073.064890435457,7.9414445648786725,1.0407477688829456,1.0407477575521584,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,2109168.6941264393,2109168.5511551145,184.77537170256664,6.101756806285898,2.5085401882926006,0.5884965345799291,244.07027291017488,1452.2977291610832,6.355965555354291,0.8086674477537772,0.8086674399182852,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast,3740979.2,3740981.4755555554,741.3389583333334,2.5392823797985,0.03612597995334201,0.03626580980088976,101.5712951303359,1934.161110145688,0.0745928629554139,0.028590480406413682,0.028590481641956544,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast,12400162.986666666,12400162.986666666,1707.8134375,5.211315075301661,0.07161473592122396,0.07225943247477214,208.45260295068346,3521.3865148072946,0.13827448437670986,0.06706080729534795,0.067060804431451,Web/CloudOps,2
bizitobs_application/10S/long,TinyCast,14629191.68,14629191.68,2207.061527777778,6.552700859012564,0.08905102199978299,0.09093100653754341,262.1080344033076,3824.8126333194414,0.1475077350541097,0.08511754124933966,0.08511754346321472,Web/CloudOps,2
bizitobs_l2c/5T/short,TinyCast,20.987486703055247,20.987484014601936,2.6972766876220704,0.2759677239888706,0.13762627309116185,0.20725585051945278,11.038708961741467,4.581210178877984,0.15733729459996357,0.09263539550633453,0.09263539521983685,Web/CloudOps,7
